GSTIN,Invoice No,Invoice Date,Value,Action,Date of Action,Remark,Record Type
27AAPFM4821K1ZV,S01/2025/023,13/11/2025,555780,Accept,13/01/2026,,Invoice
27AAPFM4821K1ZV,S01/2025/032,18/12/2025,566400,Accept,13/01/2026,,Invoice
29AADCP7712H1Z9,S02/2025/031,05/12/2025,320960,Reject,12/01/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
29AADCP7712H1Z9,S02/2025/032,21/12/2025,302080,Reject,12/01/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
29AAKFK3390B1ZB,S03/2025/011,02/10/2025,126260,Accept,13/01/2026,,Invoice
29AAKFK3390B1ZB,S03/2025/012,15/10/2025,134520,No Action,//,,Invoice
29AAKFK3390B1ZB,S03/2025/021,17/11/2025,145140,Accept,13/01/2026,,Invoice
29AAKFK3390B1ZB,S03/2025/022,04/11/2025,133340,Accept,13/01/2026,,Invoice
29AAKFK3390B1ZB,S03/2025/031,04/12/2025,149860,Accept,13/01/2026,,Invoice
29AAKFK3390B1ZB,S03/2025/032,24/12/2025,147500,Accept,13/01/2026,,Invoice
24AAGCA1188M1ZI,S05/2025/031,15/12/2025,357540,Accept,13/01/2026,,Invoice
24AAGCA1188M1ZI,S05/2025/032,14/12/2025,368160,No Action,//,,Invoice
24AAGCA1188M1ZI,S05/2025/033,07/12/2025,357540,Accept,13/01/2026,,Invoice
27AAJFN2276C1ZC,S07/2025/031,19/12/2025,239540,Accept,13/01/2026,,Invoice
27AAJFN2276C1ZC,S07/2025/032,13/12/2025,243080,Accept,13/01/2026,,Invoice
24AAECR8890P1ZI,S08/2025/031,24/12/2025,220660,Accept,13/01/2026,,Invoice
24AAECR8890P1ZI,S08/CN/004,27/12/2025,33099,Reject,14/01/2026,Rejected - credit note not agreed by purchase team,Credit Note
24AAECR8890P1ZI,S08/2025/032,23/12/2025,198240,No Action,//,,Invoice
24AAECR8890P1ZI,S08/CN/004,27/12/2025,29736,Reject,14/01/2026,Rejected - credit note not agreed by purchase team,Credit Note
27AAFCB2210G1Z8,S12/2025/021,04/11/2025,185260,No Action,//,,Invoice
27AAFCB2210G1Z8,S12/2025/031,04/12/2025,178180,Accept,13/01/2026,,Invoice
27AAFCB2210G1Z8,S12/2025/032,04/12/2025,177000,Accept,13/01/2026,,Invoice
27AAGFK5561R1ZL,S13/2025/031,24/12/2025,74340,Accept,13/01/2026,,Invoice
24AAACT3398E1ZE,S14/2025/031,05/12/2025,153400,Accept,13/01/2026,,Invoice
33AAJFL7745T1ZE,S15/2025/031,26/12/2025,59000,Accept,13/01/2026,,Invoice
33AAJFL7745T1ZE,S15/2025/032,03/12/2025,56640,Accept,13/01/2026,,Invoice
33AAJFL7745T1ZE,S15/2025/033,03/12/2025,38940,Accept,13/01/2026,,Invoice
29AAECO9912W1Z8,S16/2025/031,17/12/2025,60180,No Action,//,,Invoice
29AAECO9912W1Z8,S16/2025/032,16/12/2025,66080,Accept,13/01/2026,,Invoice
09AAHFG4423Y1ZH,S17/2025/031,03/12/2025,47200,Accept,13/01/2026,,Invoice
27AAKFP6678U1ZU,S18/2025/031,13/12/2025,167560,No Action,//,,Invoice
27AAKFP6678U1ZU,S18/2025/032,13/12/2025,164020,Accept,13/01/2026,,Invoice
27AAKFP6678U1ZU,S18/2025/033,17/12/2025,148680,Accept,13/01/2026,,Invoice
33AABFS2234V1ZT,S19/2025/022,07/11/2025,113280,Accept,13/01/2026,,Invoice
33AABFS2234V1ZT,S19/2025/031,08/12/2025,99120,No Action,//,,Invoice
33AABFS2234V1ZT,S19/2025/032,07/12/2025,101480,Accept,13/01/2026,,Invoice
27AAFCA8801X1ZT,S20/2025/031,19/12/2025,134520,Accept,13/01/2026,,Invoice
29AADCN3345Z1ZD,S21/2025/031,15/12/2025,205320,Accept,13/01/2026,,Invoice
29AADCN3345Z1ZD,S21/2025/032,14/12/2025,210040,Accept,13/01/2026,,Invoice
29AADCN3345Z1ZD,S21/2025/033,09/12/2025,186440,Accept,13/01/2026,,Invoice
27AAGFM1167A1ZO,S22/2025/031,05/12/2025,201780,Accept,13/01/2026,,Invoice
24AAECC7789B1ZM,S23/2025/031,22/12/2025,192340,Accept,13/01/2026,,Invoice
09AAJFY5523C1Z3,S24/2025/031,16/12/2025,145140,Accept,13/01/2026,,Invoice
09AAJFY5523C1Z3,S24/2025/032,20/12/2025,151040,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2025/033,14/12/2025,155760,Accept,13/01/2026,,Invoice
27AABCZ9934D1Z1,S25/2025/031,09/12/2025,51920,Accept,13/01/2026,,Invoice
