Sharma Enterprises Private Limited
Purchase Register for the period 2026-01
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/041,19/01/2026,485000,43650,43650,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/042,14/01/2026,476000,42840,42840,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/043,2026-01-02,472000,42480,42480,0,0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/041,12/01/2026,"2,62,000",0,0,"47,160",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/042,23/01/2026,264000,0,0,47520,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/041,22/01/2026,110000,0,0,19800,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/042,18/01/2026,107000,0,0,19260,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/041,15/01/2026,98000,0,0,17640,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/042,02/01/2026,93000,0,0,16740,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/041,2026-01-10,302000,0,0,54360,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/042,12/01/2026,"2,98,000",0,0,"53,640",0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/043,05/01/2026,308000,0,0,55440,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/041,21/01/2026,150000,13500,13500,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/042,05/01/2026,154000,13860,13860,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/041,03/01/2026,199000,17910,17910,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/042,21/01/2026,201000,18090,18090,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/041,19/01/2026,182000,0,0,32760,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/042,10/01/2026,"1,90,000",0,0,"34,200",0,Invoice,Yes,
Metro Motors,27AAACM6543N1Z3,S09/2026/041,11/01/2026,881000,79290,79290,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/041,04/01/2026,258000,0,0,46440,0,Invoice,Yes,
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/042,23/01/2026,267000,0,0,48060,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/041,17/01/2026,150000,13500,13500,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/042,06/01/2026,168000,15120,15120,0,0,Invoice,Yes,
